,Tweets,Name,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
74,🎨 Victoria Lomasko is a Russian graphic artist who's travelled up and down her country painting 'forgotten women'. https://t.co/XtlpBlAYb0,BBC,Sun Apr 08 16:07:03 +0000 2018,-0.2263,0.0,0.106,0.894,75
75,"🎶 The search for the next Young Musician has begun, and the first @BBCYoungMus semi-finalist of 2018 has been confi… https://t.co/klUA4GWtb0",BBC,Sun Apr 08 15:31:00 +0000 2018,0.0,0.0,0.0,1.0,76
76,"'If boys are getting diagnosed with autism, girls need exactly the same.' https://t.co/f7Aft0LWwB",BBC,Sun Apr 08 15:11:04 +0000 2018,0.0,0.0,0.0,1.0,77
77,💃🕺 Meet the kids cutting some serious shapes on the streets of Lagos. https://t.co/3ySZPqua01,BBC,Sun Apr 08 13:54:07 +0000 2018,-0.2023,0.0,0.189,0.811,78
78,"RT @BBCSport: What a nice surprise 😍💍

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jam…",BBC,Sun Apr 08 13:23:39 +0000 2018,0.875,0.393,0.0,0.607,79
79,😂 'Surprise me'. https://t.co/Jo7illTafh,BBC,Sun Apr 08 13:03:04 +0000 2018,0.2732,0.512,0.0,0.488,80
80,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/MGM0dpxlFH",BBC,Sun Apr 08 11:00:15 +0000 2018,-0.0772,0.0,0.064,0.936,81
81,"RT @BBCSport: Beauty queen ✅
Commonwealth Games weightlifting silver medallist ✅

Introducing Sarah Davies...

#GC2018 #bbcgoldcoast https:…",BBC,Sun Apr 08 10:15:06 +0000 2018,0.5859,0.213,0.0,0.787,82
82,"From Ordeal by Innocence to the return of The Handmaid’s Tale, here are @BBC_Culture's pick of programmes to watch… https://t.co/Q6S34uv5LX",BBC,Sun Apr 08 10:01:07 +0000 2018,0.3818,0.12,0.0,0.88,83
83,"🦍💬 Not only can Koko the gorilla use sign language, she also appears to have learnt to lie...

https://t.co/xXZwlLDLJh",BBC,Sun Apr 08 09:08:02 +0000 2018,0.0,0.0,0.0,1.0,84
84,RT @BBCOne: .@johnkrasinski's got MOVES. #TheGrahamNortonShow #TGNS https://t.co/2HUMM0ixEW,BBC,Sun Apr 08 08:17:18 +0000 2018,0.0,0.0,0.0,1.0,85
85,"Football, volleyball AND martial arts? ️⚽️🥋🤔

Sepak Takraw is the best sport you've never heard of... 

https://t.co/ngTwJHEmrI",BBC,Sun Apr 08 08:08:07 +0000 2018,0.6369,0.208,0.0,0.792,86
86,🐳 Meet the gargantuan air freighter that looks like a whale. https://t.co/7DPUt8okKU,BBC,Sun Apr 08 07:02:06 +0000 2018,0.3612,0.217,0.0,0.783,87
87,❤️🎶 @NiallOfficial's Live Lounge cover of @JuliaMichaels' Issues is just perfect.  https://t.co/XpsnR29hPU,BBC,Sat Apr 07 18:00:22 +0000 2018,0.5719,0.252,0.0,0.748,88
88,"RT @CBeebiesHQ: Goodnight @ChrisEvans,🌙 

Chris reads Goodnight Goodnight Construction site tonight. 🏗️ 

#BedtimeStory is at 6:50pm 😴💤 htt…",BBC,Sat Apr 07 17:19:26 +0000 2018,0.0,0.0,0.0,1.0,89
89,🦁😢 Lions are often poisoned to prevent them attacking livestock. https://t.co/254nhtlMW5,BBC,Sat Apr 07 17:04:03 +0000 2018,-0.7269,0.072,0.405,0.523,90
